,Year,State,County,Corn Yield,COUNTY_STATE,Wheat Yield,Soybean Yield
159,2019,IOWA,BOONE,194.8,"BOONE, IOWA",,53.2
160,2019,IOWA,DALLAS,195.0,"DALLAS, IOWA",,54.4
161,2019,IOWA,GRUNDY,209.8,"GRUNDY, IOWA",,56.3
162,2019,IOWA,HAMILTON,198.2,"HAMILTON, IOWA",,51.4
163,2019,IOWA,HARDIN,200.2,"HARDIN, IOWA",,53.9
164,2019,IOWA,JASPER,209.3,"JASPER, IOWA",,56.5
165,2019,IOWA,MARSHALL,221.9,"MARSHALL, IOWA",,60.6
166,2019,IOWA,POLK,196.7,"POLK, IOWA",,51.0
167,2019,IOWA,POWESHIEK,200.3,"POWESHIEK, IOWA",,53.4
168,2019,IOWA,STORY,189.3,"STORY, IOWA",,50.0
169,2019,IOWA,TAMA,204.8,"TAMA, IOWA",,53.4
170,2019,IOWA,WEBSTER,202.9,"WEBSTER, IOWA",,49.1
171,2019,IOWA,BENTON,197.6,"BENTON, IOWA",,57.9
172,2019,IOWA,CEDAR,193.7,"CEDAR, IOWA",,
173,2019,IOWA,CLINTON,196.1,"CLINTON, IOWA",,59.5
174,2019,IOWA,IOWA,190.6,"IOWA, IOWA",,52.3
175,2019,IOWA,JACKSON,185.5,"JACKSON, IOWA",,
176,2019,IOWA,JOHNSON,181.3,"JOHNSON, IOWA",,55.5
177,2019,IOWA,JONES,203.0,"JONES, IOWA",,57.2
178,2019,IOWA,LINN,223.7,"LINN, IOWA",,56.5
179,2019,IOWA,MUSCATINE,173.2,"MUSCATINE, IOWA",,55.2
180,2019,IOWA,SCOTT,189.3,"SCOTT, IOWA",,60.5
181,2019,IOWA,BUTLER,209.5,"BUTLER, IOWA",,55.0
182,2019,IOWA,CERRO GORDO,191.8,"CERRO GORDO, IOWA",,52.7
183,2019,IOWA,FLOYD,202.9,"FLOYD, IOWA",,54.3
184,2019,IOWA,FRANKLIN,202.7,"FRANKLIN, IOWA",,54.1
185,2019,IOWA,HANCOCK,193.3,"HANCOCK, IOWA",,49.6
186,2019,IOWA,HUMBOLDT,198.7,"HUMBOLDT, IOWA",,54.9
187,2019,IOWA,KOSSUTH,198.7,"KOSSUTH, IOWA",,57.4
188,2019,IOWA,MITCHELL,194.5,"MITCHELL, IOWA",,49.8
189,2019,IOWA,WINNEBAGO,198.8,"WINNEBAGO, IOWA",,54.2
190,2019,IOWA,WORTH,196.5,"WORTH, IOWA",,51.0
191,2019,IOWA,WRIGHT,197.0,"WRIGHT, IOWA",,54.1
192,2019,IOWA,ALLAMAKEE,187.2,"ALLAMAKEE, IOWA",,
193,2019,IOWA,BLACK HAWK,205.1,"BLACK HAWK, IOWA",,51.9
194,2019,IOWA,BREMER,212.5,"BREMER, IOWA",,52.5
195,2019,IOWA,BUCHANAN,218.9,"BUCHANAN, IOWA",,55.2
196,2019,IOWA,CHICKASAW,212.1,"CHICKASAW, IOWA",,54.5
197,2019,IOWA,CLAYTON,197.5,"CLAYTON, IOWA",,56.4
198,2019,IOWA,DELAWARE,204.6,"DELAWARE, IOWA",,
199,2019,IOWA,DUBUQUE,216.4,"DUBUQUE, IOWA",,60.2
200,2019,IOWA,FAYETTE,200.5,"FAYETTE, IOWA",,55.5
201,2019,IOWA,HOWARD,194.2,"HOWARD, IOWA",,52.1
202,2019,IOWA,WINNESHIEK,200.4,"WINNESHIEK, IOWA",,55.6
203,2019,IOWA,BUENA VISTA,190.8,"BUENA VISTA, IOWA",,53.5
204,2019,IOWA,CHEROKEE,208.9,"CHEROKEE, IOWA",,58.8
205,2019,IOWA,CLAY,185.5,"CLAY, IOWA",,50.9
206,2019,IOWA,DICKINSON,170.0,"DICKINSON, IOWA",,51.3
207,2019,IOWA,LYON,186.6,"LYON, IOWA",,54.8
208,2019,IOWA,O BRIEN,204.9,"O BRIEN, IOWA",,56.0
209,2019,IOWA,OSCEOLA,182.5,"OSCEOLA, IOWA",,50.5
210,2019,IOWA,OTHER (COMBINED) COUNTIES,191.2,"OTHER (COMBINED) COUNTIES, IOWA",,55.2
211,2019,IOWA,OTHER (COMBINED) COUNTIES,191.2,"OTHER (COMBINED) COUNTIES, IOWA",,56.4
212,2019,IOWA,OTHER (COMBINED) COUNTIES,191.2,"OTHER (COMBINED) COUNTIES, IOWA",,54.0
213,2019,IOWA,OTHER (COMBINED) COUNTIES,191.2,"OTHER (COMBINED) COUNTIES, IOWA",,50.1
214,2019,IOWA,OTHER (COMBINED) COUNTIES,191.2,"OTHER (COMBINED) COUNTIES, IOWA",,55.8
