,COUNTY_STATE,Year,MONTH,Precipitation (Inches),Maximum temperature (F),Minimum temperature (F),Unnamed: 0,State,County,Corn Yield,Wheat Yield,Soybean Yield
0,"BARBER, KANSAS",2000,August,0.01,100.80645161290323,70.2258064516129,16322,KANSAS,BARBER,110.0,37.0,29.0
1,"BARBER, KANSAS",2000,July,2.9,92.35714285714286,67.92857142857143,16322,KANSAS,BARBER,110.0,37.0,29.0
2,"BARBER, KANSAS",2000,June,4.46,84.66666666666667,63.1,16322,KANSAS,BARBER,110.0,37.0,29.0
3,"BARBER, KANSAS",2000,May,3.7700000000000005,81.93548387096774,55.96774193548387,16322,KANSAS,BARBER,110.0,37.0,29.0
4,"BARBER, KANSAS",2001,August,0.63,96.54838709677419,68.90322580645162,15024,KANSAS,BARBER,111.0,38.0,
5,"BARBER, KANSAS",2001,July,0.05,100.6,72.8,15024,KANSAS,BARBER,111.0,38.0,
6,"BARBER, KANSAS",2001,June,3.9899999999999993,89.06896551724138,63.62068965517241,15024,KANSAS,BARBER,111.0,38.0,
7,"BARBER, KANSAS",2001,May,3.75,79.48387096774194,54.483870967741936,15024,KANSAS,BARBER,111.0,38.0,
8,"BARBER, KANSAS",2002,August,4.87,91.7741935483871,68.83870967741936,13722,KANSAS,BARBER,117.0,26.0,
9,"BARBER, KANSAS",2002,July,3.7800000000000002,92.96774193548387,69.54838709677419,13722,KANSAS,BARBER,117.0,26.0,
10,"BARBER, KANSAS",2002,June,3.78,89.56666666666666,65.56666666666666,13722,KANSAS,BARBER,117.0,26.0,
11,"BARBER, KANSAS",2002,May,3.1599999999999997,77.16129032258064,52.58064516129032,13722,KANSAS,BARBER,117.0,26.0,
12,"BARBER, KANSAS",2003,August,7.38,94.93548387096774,70.0,12422,KANSAS,BARBER,134.0,55.0,31.0
13,"BARBER, KANSAS",2003,July,0.81,100.25806451612904,70.83870967741936,12422,KANSAS,BARBER,134.0,55.0,31.0
14,"BARBER, KANSAS",2003,June,1.8,86.2,62.03333333333333,12422,KANSAS,BARBER,134.0,55.0,31.0
15,"BARBER, KANSAS",2003,May,2.4499999999999997,78.09677419354838,53.61290322580645,12422,KANSAS,BARBER,134.0,55.0,31.0
16,"BARBER, KANSAS",2004,August,1.3800000000000001,88.70967741935483,64.58064516129032,11053,KANSAS,BARBER,157.0,36.0,
17,"BARBER, KANSAS",2004,July,2.65,90.35483870967742,67.29032258064517,11053,KANSAS,BARBER,157.0,36.0,
18,"BARBER, KANSAS",2004,June,6.21,86.0,63.758620689655174,11053,KANSAS,BARBER,157.0,36.0,
19,"BARBER, KANSAS",2004,May,0.55,84.70967741935483,57.516129032258064,11053,KANSAS,BARBER,157.0,36.0,
20,"BARBER, KANSAS",2005,August,3.9599999999999995,90.4,68.33333333333333,9953,KANSAS,BARBER,116.0,35.0,21.0
21,"BARBER, KANSAS",2005,July,1.05,93.96774193548387,67.7741935483871,9953,KANSAS,BARBER,116.0,35.0,21.0
22,"BARBER, KANSAS",2005,June,6.05,90.46666666666667,65.8,9953,KANSAS,BARBER,116.0,35.0,21.0
23,"BARBER, KANSAS",2005,May,1.5,79.90322580645162,56.41935483870968,9953,KANSAS,BARBER,116.0,35.0,21.0
24,"BARBER, KANSAS",2006,August,6.329999999999999,92.87096774193549,70.6774193548387,8760,KANSAS,BARBER,129.0,25.0,26.0
25,"BARBER, KANSAS",2006,July,2.45,98.45161290322581,70.38709677419355,8760,KANSAS,BARBER,129.0,25.0,26.0
26,"BARBER, KANSAS",2006,June,2.87,92.23333333333333,65.0,8760,KANSAS,BARBER,129.0,25.0,26.0
27,"BARBER, KANSAS",2006,May,4.34,82.80645161290323,56.03225806451613,8760,KANSAS,BARBER,129.0,25.0,26.0
28,"BARBER, KANSAS",2007,August,2.1799999999999997,95.09677419354838,71.12903225806451,17764,KANSAS,BARBER,,26.0,33.0
29,"BARBER, KANSAS",2007,July,3.04,90.51612903225806,68.3225806451613,17764,KANSAS,BARBER,,26.0,33.0
30,"BARBER, KANSAS",2007,June,7.36,84.16666666666667,63.96666666666667,17764,KANSAS,BARBER,,26.0,33.0
31,"BARBER, KANSAS",2007,May,6.759999999999999,78.35483870967742,58.29032258064516,17764,KANSAS,BARBER,,26.0,33.0
32,"BARBER, KANSAS",2009,August,1.4300000000000002,91.43333333333334,65.56666666666666,6146,KANSAS,BARBER,128.0,,27.5
