,Year,State,County,Corn Yield,COUNTY_STATE,Wheat Yield,Soybean Yield
271,2019,KANSAS,BARTON,147.4,"BARTON, KANSAS",,29.9
272,2019,KANSAS,ELLIS,68.0,"ELLIS, KANSAS",,
273,2019,KANSAS,ELLSWORTH,86.0,"ELLSWORTH, KANSAS",,
274,2019,KANSAS,LINCOLN,98.2,"LINCOLN, KANSAS",,
275,2019,KANSAS,MARION,100.1,"MARION, KANSAS",,35.1
276,2019,KANSAS,MCPHERSON,119.7,"MCPHERSON, KANSAS",,35.1
277,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,34.9
278,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,40.6
279,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,47.5
280,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,49.8
281,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,49.5
282,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,44.1
283,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,35.0
284,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,57.8
285,2019,KANSAS,OTHER (COMBINED) COUNTIES,109.4,"OTHER (COMBINED) COUNTIES, KANSAS",,40.2
286,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,34.9
287,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,40.6
288,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,47.5
289,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,49.8
290,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,49.5
291,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,44.1
292,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,35.0
293,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,57.8
294,2019,KANSAS,OTHER (COMBINED) COUNTIES,121.0,"OTHER (COMBINED) COUNTIES, KANSAS",,40.2
295,2019,KANSAS,OTHER (COMBINED) COUNTIES,130.4,"OTHER (COMBINED) COUNTIES, KANSAS",,34.9
296,2019,KANSAS,OTHER (COMBINED) COUNTIES,130.4,"OTHER (COMBINED) COUNTIES, KANSAS",,40.6
