,COUNTY_STATE,Year,MONTH,Precipitation (Inches),Maximum temperature (F),Minimum temperature (F),Unnamed: 0,State,County,Corn Yield,Wheat Yield,Soybean Yield
0,"ADAIR, MISSOURI",2000,August,3.3299999999999987,84.46666666666667,66.3,16497,MISSOURI,ADAIR,160.0,60.0,43.0
1,"ADAIR, MISSOURI",2000,July,1.58,82.46666666666667,64.8,16497,MISSOURI,ADAIR,160.0,60.0,43.0
2,"ADAIR, MISSOURI",2000,June,6.9399999999999995,78.66666666666667,59.06666666666667,16497,MISSOURI,ADAIR,160.0,60.0,43.0
3,"ADAIR, MISSOURI",2000,May,0.7200000000000001,75.93548387096774,53.67741935483871,16497,MISSOURI,ADAIR,160.0,60.0,43.0
4,"ADAIR, MISSOURI",2001,August,4.989999999999998,83.24137931034483,64.03448275862068,15199,MISSOURI,ADAIR,130.7,52.0,34.7
5,"ADAIR, MISSOURI",2001,July,4.81,85.35483870967742,67.93548387096774,15199,MISSOURI,ADAIR,130.7,52.0,34.7
6,"ADAIR, MISSOURI",2001,June,5.66,79.06666666666666,59.666666666666664,15199,MISSOURI,ADAIR,130.7,52.0,34.7
7,"ADAIR, MISSOURI",2001,May,4.469999999999999,71.80645161290323,53.58064516129032,15199,MISSOURI,ADAIR,130.7,52.0,34.7
8,"ADAIR, MISSOURI",2002,August,3.0999999999999996,83.90322580645162,63.74193548387097,13895,MISSOURI,ADAIR,100.8,53.3,38.6
9,"ADAIR, MISSOURI",2002,July,4.03,87.87096774193549,66.70967741935483,13895,MISSOURI,ADAIR,100.8,53.3,38.6
10,"ADAIR, MISSOURI",2002,June,1.8800000000000001,83.34482758620689,63.62068965517241,13895,MISSOURI,ADAIR,100.8,53.3,38.6
11,"ADAIR, MISSOURI",2002,May,13.319999999999999,70.0,48.86666666666667,13895,MISSOURI,ADAIR,100.8,53.3,38.6
12,"ADAIR, MISSOURI",2003,August,3.83,88.62068965517241,64.93103448275862,12579,MISSOURI,ADAIR,112.6,63.0,31.8
13,"ADAIR, MISSOURI",2003,July,1.79,86.36666666666666,64.86666666666666,12579,MISSOURI,ADAIR,112.6,63.0,31.8
14,"ADAIR, MISSOURI",2003,June,3.4099999999999997,77.86666666666666,57.666666666666664,12579,MISSOURI,ADAIR,112.6,63.0,31.8
15,"ADAIR, MISSOURI",2003,May,3.3699999999999997,70.25806451612904,50.38709677419355,12579,MISSOURI,ADAIR,112.6,63.0,31.8
16,"ADAIR, MISSOURI",2004,August,7.679999999999999,77.7741935483871,57.83870967741935,11194,MISSOURI,ADAIR,164.3,53.8,46.4
17,"ADAIR, MISSOURI",2004,July,3.399999999999999,80.96774193548387,63.29032258064516,11194,MISSOURI,ADAIR,164.3,53.8,46.4
18,"ADAIR, MISSOURI",2004,June,2.6799999999999997,77.3,58.36666666666667,11194,MISSOURI,ADAIR,164.3,53.8,46.4
19,"ADAIR, MISSOURI",2004,May,3.7900000000000005,74.58064516129032,54.354838709677416,11194,MISSOURI,ADAIR,164.3,53.8,46.4
20,"ADAIR, MISSOURI",2005,August,4.219999999999999,85.54838709677419,63.61290322580645,10126,MISSOURI,ADAIR,90.6,47.9,38.1
21,"ADAIR, MISSOURI",2005,July,0.63,88.29032258064517,64.35483870967742,10126,MISSOURI,ADAIR,90.6,47.9,38.1
22,"ADAIR, MISSOURI",2005,June,5.220000000000001,84.0,62.5,10126,MISSOURI,ADAIR,90.6,47.9,38.1
23,"ADAIR, MISSOURI",2005,May,2.95,72.3225806451613,49.12903225806452,10126,MISSOURI,ADAIR,90.6,47.9,38.1
24,"ADAIR, MISSOURI",2006,August,7.130000000000001,84.35483870967742,64.87096774193549,8910,MISSOURI,ADAIR,153.0,63.5,44.0
25,"ADAIR, MISSOURI",2006,July,1.4900000000000002,88.38709677419355,66.54838709677419,8910,MISSOURI,ADAIR,153.0,63.5,44.0
26,"ADAIR, MISSOURI",2006,June,3.7,80.82758620689656,59.827586206896555,8910,MISSOURI,ADAIR,153.0,63.5,44.0
27,"ADAIR, MISSOURI",2006,May,1.77,72.51612903225806,50.96774193548387,8910,MISSOURI,ADAIR,153.0,63.5,44.0
28,"ADAIR, MISSOURI",2007,August,4.32,88.38709677419355,67.45161290322581,7354,MISSOURI,ADAIR,132.0,40.4,41.0
29,"ADAIR, MISSOURI",2007,July,0.8400000000000001,85.1,62.63333333333333,7354,MISSOURI,ADAIR,132.0,40.4,41.0
30,"ADAIR, MISSOURI",2007,June,3.8,80.73333333333333,60.6,7354,MISSOURI,ADAIR,132.0,40.4,41.0
31,"ADAIR, MISSOURI",2007,May,5.349999999999999,75.87096774193549,55.483870967741936,7354,MISSOURI,ADAIR,132.0,40.4,41.0
32,"ADAIR, MISSOURI",2008,August,1.31,81.54838709677419,59.74193548387097,6765,MISSOURI,ADAIR,118.0,,27.0
33,"ADAIR, MISSOURI",2008,July,13.96,83.29032258064517,63.806451612903224,6765,MISSOURI,ADAIR,118.0,,27.0
34,"ADAIR, MISSOURI",2008,June,11.04,80.46666666666667,59.8,6765,MISSOURI,ADAIR,118.0,,27.0
35,"ADAIR, MISSOURI",2008,May,5.65,69.90322580645162,48.25806451612903,6765,MISSOURI,ADAIR,118.0,,27.0
36,"ADAIR, MISSOURI",2009,August,5.450000000000001,80.3225806451613,59.58064516129032,6230,MISSOURI,ADAIR,138.0,,37.0
37,"ADAIR, MISSOURI",2009,July,2.2899999999999996,80.58064516129032,58.83870967741935,6230,MISSOURI,ADAIR,138.0,,37.0
38,"ADAIR, MISSOURI",2009,June,7.340000000000001,81.4,60.93333333333333,6230,MISSOURI,ADAIR,138.0,,37.0
39,"ADAIR, MISSOURI",2009,May,5.580000000000001,71.93103448275862,49.310344827586206,6230,MISSOURI,ADAIR,138.0,,37.0
40,"ADAIR, MISSOURI",2010,August,1.9600000000000004,87.45161290322581,64.90322580645162,5633,MISSOURI,ADAIR,85.6,,38.2
41,"ADAIR, MISSOURI",2010,July,10.319999999999999,85.93548387096774,66.96774193548387,5633,MISSOURI,ADAIR,85.6,,38.2
42,"ADAIR, MISSOURI",2010,June,10.61,83.9,63.43333333333333,5633,MISSOURI,ADAIR,85.6,,38.2
43,"ADAIR, MISSOURI",2010,May,6.669999999999999,70.51612903225806,50.16129032258065,5633,MISSOURI,ADAIR,85.6,,38.2
44,"ADAIR, MISSOURI",2011,August,1.9300000000000002,86.16666666666667,63.0,5112,MISSOURI,ADAIR,121.8,,38.6
45,"ADAIR, MISSOURI",2011,July,4.01,90.46666666666667,70.03333333333333,5112,MISSOURI,ADAIR,121.8,,38.6
46,"ADAIR, MISSOURI",2011,June,8.969999999999999,81.26666666666667,62.266666666666666,5112,MISSOURI,ADAIR,121.8,,38.6
47,"ADAIR, MISSOURI",2011,May,4.81,71.2258064516129,50.0,5112,MISSOURI,ADAIR,121.8,,38.6
48,"ADAIR, MISSOURI",2012,August,2.48,87.93548387096774,58.774193548387096,4513,MISSOURI,ADAIR,43.6,,26.2
49,"ADAIR, MISSOURI",2012,July,1.0,96.29032258064517,67.35483870967742,4513,MISSOURI,ADAIR,43.6,,26.2
50,"ADAIR, MISSOURI",2012,June,2.09,86.9,59.7,4513,MISSOURI,ADAIR,43.6,,26.2
51,"ADAIR, MISSOURI",2012,May,2.6799999999999997,78.38709677419355,53.58064516129032,4513,MISSOURI,ADAIR,43.6,,26.2
52,"ADAIR, MISSOURI",2013,August,0.0,87.65517241379311,60.86206896551724,3986,MISSOURI,ADAIR,126.2,,29.7
53,"ADAIR, MISSOURI",2013,July,1.9800000000000002,85.37931034482759,59.96551724137931,3986,MISSOURI,ADAIR,126.2,,29.7
54,"ADAIR, MISSOURI",2013,June,3.4400000000000004,80.73333333333333,60.13333333333333,3986,MISSOURI,ADAIR,126.2,,29.7
55,"ADAIR, MISSOURI",2013,May,8.5,71.2258064516129,49.61290322580645,3986,MISSOURI,ADAIR,126.2,,29.7
56,"ADAIR, MISSOURI",2014,August,8.76,83.9,65.66666666666667,3344,MISSOURI,ADAIR,179.5,,49.6
57,"ADAIR, MISSOURI",2014,July,2.8099999999999996,81.74193548387096,59.645161290322584,3344,MISSOURI,ADAIR,179.5,,49.6
58,"ADAIR, MISSOURI",2014,June,7.42,82.63333333333334,62.9,3344,MISSOURI,ADAIR,179.5,,49.6
59,"ADAIR, MISSOURI",2014,May,1.5,75.2258064516129,51.87096774193548,3344,MISSOURI,ADAIR,179.5,,49.6
60,"ADAIR, MISSOURI",2015,August,2.43,82.38709677419355,61.87096774193548,2758,MISSOURI,ADAIR,128.5,,
61,"ADAIR, MISSOURI",2015,July,6.85,84.93548387096774,65.6774193548387,2758,MISSOURI,ADAIR,128.5,,
62,"ADAIR, MISSOURI",2015,June,10.349999999999998,81.96428571428571,63.32142857142857,2758,MISSOURI,ADAIR,128.5,,
63,"ADAIR, MISSOURI",2015,May,4.18,72.90322580645162,53.32258064516129,2758,MISSOURI,ADAIR,128.5,,
64,"ADAIR, MISSOURI",2016,August,7.139999999999999,84.90322580645162,65.51612903225806,2183,MISSOURI,ADAIR,170.1,,53.8
65,"ADAIR, MISSOURI",2016,July,2.22,86.25806451612904,65.96774193548387,2183,MISSOURI,ADAIR,170.1,,53.8
66,"ADAIR, MISSOURI",2016,June,1.4899999999999998,87.56666666666666,63.56666666666667,2183,MISSOURI,ADAIR,170.1,,53.8
67,"ADAIR, MISSOURI",2016,May,4.720000000000001,72.06451612903226,50.354838709677416,2183,MISSOURI,ADAIR,170.1,,53.8
68,"ADAIR, MISSOURI",2019,August,2.1599999999999997,83.70967741935483,62.67741935483871,495,MISSOURI,ADAIR,132.3,,37.4
69,"ADAIR, MISSOURI",2019,July,1.2300000000000002,88.6774193548387,66.83870967741936,495,MISSOURI,ADAIR,132.3,,37.4
70,"ADAIR, MISSOURI",2019,June,9.08,81.7,61.53333333333333,495,MISSOURI,ADAIR,132.3,,37.4
71,"ADAIR, MISSOURI",2019,May,15.749999999999998,71.16129032258064,51.74193548387097,495,MISSOURI,ADAIR,132.3,,37.4
72,"BOONE, MISSOURI",2000,August,9.1,88.64516129032258,68.41935483870968,16373,MISSOURI,BOONE,141.3,49.5,39.5
73,"BOONE, MISSOURI",2000,July,4.069999999999999,84.7741935483871,66.6774193548387,16373,MISSOURI,BOONE,141.3,49.5,39.5
74,"BOONE, MISSOURI",2000,June,5.4399999999999995,80.4,60.2,16373,MISSOURI,BOONE,141.3,49.5,39.5
75,"BOONE, MISSOURI",2000,May,5.55,78.19354838709677,55.87096774193548,16373,MISSOURI,BOONE,141.3,49.5,39.5
76,"BOONE, MISSOURI",2001,August,3.23,87.6774193548387,65.93548387096774,15077,MISSOURI,BOONE,130.2,56.3,39.6
77,"BOONE, MISSOURI",2001,July,3.98,87.51612903225806,69.3225806451613,15077,MISSOURI,BOONE,130.2,56.3,39.6
78,"BOONE, MISSOURI",2001,June,5.24,81.16666666666667,61.2,15077,MISSOURI,BOONE,130.2,56.3,39.6
79,"BOONE, MISSOURI",2001,May,6.369999999999999,75.2258064516129,54.87096774193548,15077,MISSOURI,BOONE,130.2,56.3,39.6
80,"BOONE, MISSOURI",2002,August,8.49,87.64516129032258,66.48387096774194,13773,MISSOURI,BOONE,94.7,47.0,36.6
81,"BOONE, MISSOURI",2002,July,2.32,89.74193548387096,67.87096774193549,13773,MISSOURI,BOONE,94.7,47.0,36.6
82,"BOONE, MISSOURI",2002,June,3.3000000000000003,84.36666666666666,63.8,13773,MISSOURI,BOONE,94.7,47.0,36.6
83,"BOONE, MISSOURI",2002,May,10.08,71.25806451612904,49.29032258064516,13773,MISSOURI,BOONE,94.7,47.0,36.6
84,"BOONE, MISSOURI",2003,August,3.0300000000000002,90.96774193548387,67.06451612903226,12473,MISSOURI,BOONE,88.9,65.1,27.1
85,"BOONE, MISSOURI",2003,July,1.07,88.51612903225806,66.29032258064517,12473,MISSOURI,BOONE,88.9,65.1,27.1
86,"BOONE, MISSOURI",2003,June,5.58,79.3,59.0,12473,MISSOURI,BOONE,88.9,65.1,27.1
87,"BOONE, MISSOURI",2003,May,4.929999999999999,73.03225806451613,53.096774193548384,12473,MISSOURI,BOONE,88.9,65.1,27.1
88,"BOONE, MISSOURI",2004,August,6.26,79.80645161290323,60.45161290322581,11104,MISSOURI,BOONE,171.8,51.1,44.2
89,"BOONE, MISSOURI",2004,July,5.1,83.29032258064517,64.96774193548387,11104,MISSOURI,BOONE,171.8,51.1,44.2
90,"BOONE, MISSOURI",2004,June,2.7299999999999995,80.2,60.53333333333333,11104,MISSOURI,BOONE,171.8,51.1,44.2
91,"BOONE, MISSOURI",2004,May,5.470000000000001,76.19354838709677,56.61290322580645,11104,MISSOURI,BOONE,171.8,51.1,44.2
92,"BOONE, MISSOURI",2005,August,10.190000000000001,88.48387096774194,67.74193548387096,10004,MISSOURI,BOONE,68.3,52.3,29.8
93,"BOONE, MISSOURI",2005,July,0.62,92.41935483870968,66.80645161290323,10004,MISSOURI,BOONE,68.3,52.3,29.8
94,"BOONE, MISSOURI",2005,June,4.66,86.53333333333333,64.5,10004,MISSOURI,BOONE,68.3,52.3,29.8
95,"BOONE, MISSOURI",2005,May,2.01,75.90322580645162,52.193548387096776,10004,MISSOURI,BOONE,68.3,52.3,29.8
96,"BOONE, MISSOURI",2006,August,4.4799999999999995,90.90322580645162,67.87096774193549,8809,MISSOURI,BOONE,140.0,48.4,35.0
97,"BOONE, MISSOURI",2006,July,2.0900000000000003,91.7741935483871,68.74193548387096,8809,MISSOURI,BOONE,140.0,48.4,35.0
98,"BOONE, MISSOURI",2006,June,3.7699999999999996,84.36666666666666,63.166666666666664,8809,MISSOURI,BOONE,140.0,48.4,35.0
99,"BOONE, MISSOURI",2006,May,1.94,75.0,54.70967741935484,8809,MISSOURI,BOONE,140.0,48.4,35.0
100,"BOONE, MISSOURI",2007,August,1.4500000000000002,95.1,70.66666666666667,7251,MISSOURI,BOONE,123.0,47.3,32.0
101,"BOONE, MISSOURI",2007,July,1.2000000000000002,86.87096774193549,66.09677419354838,7251,MISSOURI,BOONE,123.0,47.3,32.0
102,"BOONE, MISSOURI",2007,June,4.359999999999999,83.33333333333333,64.6,7251,MISSOURI,BOONE,123.0,47.3,32.0
103,"BOONE, MISSOURI",2007,May,2.8900000000000006,78.93548387096774,59.645161290322584,7251,MISSOURI,BOONE,123.0,47.3,32.0
104,"BOONE, MISSOURI",2008,August,2.58,83.2258064516129,63.54838709677419,6722,MISSOURI,BOONE,130.0,,32.5
105,"BOONE, MISSOURI",2008,July,10.52,85.90322580645162,67.3225806451613,6722,MISSOURI,BOONE,130.0,,32.5
106,"BOONE, MISSOURI",2008,June,5.44,83.42857142857143,64.53571428571429,6722,MISSOURI,BOONE,130.0,,32.5
107,"BOONE, MISSOURI",2008,May,6.340000000000001,72.61290322580645,52.483870967741936,6722,MISSOURI,BOONE,130.0,,32.5
108,"BOONE, MISSOURI",2009,August,3.3699999999999997,81.90322580645162,62.0,6181,MISSOURI,BOONE,141.0,,43.5
109,"BOONE, MISSOURI",2009,July,7.14,81.70967741935483,62.83870967741935,6181,MISSOURI,BOONE,141.0,,43.5
110,"BOONE, MISSOURI",2009,June,4.399999999999999,84.06666666666666,64.33333333333333,6181,MISSOURI,BOONE,141.0,,43.5
111,"BOONE, MISSOURI",2009,May,4.2700000000000005,74.54838709677419,53.354838709677416,6181,MISSOURI,BOONE,141.0,,43.5
