,Year,State,County,Corn Yield,COUNTY_STATE,Wheat Yield,Soybean Yield
407,2019,MISSOURI,BOONE,168.6,"BOONE, MISSOURI",,46.4
408,2019,MISSOURI,DALLAS,114.0,"DALLAS, MISSOURI",,37.5
409,2019,MISSOURI,LACLEDE,136.7,"LACLEDE, MISSOURI",,
410,2019,MISSOURI,MARIES,125.3,"MARIES, MISSOURI",,
411,2019,MISSOURI,MILLER,149.2,"MILLER, MISSOURI",,47.0
412,2019,MISSOURI,MONITEAU,144.6,"MONITEAU, MISSOURI",,47.8
413,2019,MISSOURI,MORGAN,151.5,"MORGAN, MISSOURI",,49.9
414,2019,MISSOURI,OSAGE,133.0,"OSAGE, MISSOURI",,46.3
415,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,49.0
416,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.5
417,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.2
418,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,45.5
419,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.8
420,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,38.0
421,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,39.7
422,2019,MISSOURI,OTHER (COMBINED) COUNTIES,161.3,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.9
423,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,49.0
424,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.5
425,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.2
426,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,45.5
427,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.8
428,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,38.0
429,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,39.7
430,2019,MISSOURI,OTHER (COMBINED) COUNTIES,149.2,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.9
431,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,49.0
432,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.5
433,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.2
434,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,45.5
435,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.8
436,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,38.0
437,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,39.7
438,2019,MISSOURI,OTHER (COMBINED) COUNTIES,137.8,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.9
439,2019,MISSOURI,OTHER (COMBINED) COUNTIES,146.0,"OTHER (COMBINED) COUNTIES, MISSOURI",,49.0
440,2019,MISSOURI,OTHER (COMBINED) COUNTIES,146.0,"OTHER (COMBINED) COUNTIES, MISSOURI",,47.5
441,2019,MISSOURI,OTHER (COMBINED) COUNTIES,146.0,"OTHER (COMBINED) COUNTIES, MISSOURI",,42.2
442,2019,MISSOURI,OTHER (COMBINED) COUNTIES,146.0,"OTHER (COMBINED) COUNTIES, MISSOURI",,45.5
